epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,517.978,1.70105,1.34685,1.16333,0.91144,0.85918,0.9273,0.51212,1.47176,0.91117,1.14923,0.000664466,0.000664466,0.000664466
2,757.506,1.58692,1.02288,1.11965,0.93078,0.88431,0.94313,0.53429,1.43647,0.87998,1.13943,0.00131795,0.00131795,0.00131795
3,976.355,1.55832,0.96912,1.11413,0.95563,0.91188,0.96014,0.54959,1.43012,0.75483,1.121,0.00195824,0.00195824,0.00195824
4,1197.52,1.53205,0.93839,1.10556,0.95047,0.91502,0.96444,0.55852,1.42089,0.74813,1.12387,0.0019406,0.0019406,0.0019406
5,1417.47,1.50289,0.89891,1.09572,0.95956,0.90493,0.95592,0.55529,1.45455,0.68508,1.13457,0.0019208,0.0019208,0.0019208
6,1632.91,1.47958,0.88052,1.09192,0.96226,0.91922,0.96566,0.55345,1.42569,0.70701,1.11694,0.001901,0.001901,0.001901
7,1852.48,1.46793,0.85116,1.08153,0.95659,0.91622,0.96291,0.55936,1.41477,0.69135,1.11557,0.0018812,0.0018812,0.0018812
8,2069.93,1.44866,0.8392,1.07571,0.96275,0.92492,0.96203,0.56172,1.4385,0.64589,1.12852,0.0018614,0.0018614,0.0018614
9,2248.59,1.43711,0.83579,1.07676,0.95953,0.93153,0.96773,0.57258,1.43553,0.6321,1.12865,0.0018416,0.0018416,0.0018416
10,2463.74,1.41463,0.80947,1.06943,0.95243,0.9259,0.97127,0.57435,1.38512,0.657,1.10697,0.0018218,0.0018218,0.0018218
11,2677.05,1.39838,0.78506,1.05952,0.957,0.92562,0.96961,0.5602,1.43565,0.65924,1.12887,0.001802,0.001802,0.001802
12,2893.32,1.39236,0.78296,1.05937,0.96563,0.93348,0.96508,0.56031,1.44248,0.59866,1.13702,0.0017822,0.0017822,0.0017822
13,3113.52,1.38154,0.76704,1.05772,0.95841,0.92763,0.96374,0.56377,1.44333,0.61228,1.13723,0.0017624,0.0017624,0.0017624
14,3334,1.36278,0.75413,1.04927,0.95265,0.92438,0.96803,0.56183,1.4366,0.67645,1.1296,0.0017426,0.0017426,0.0017426
15,3551.8,1.3488,0.73756,1.04541,0.97018,0.92718,0.97333,0.5691,1.43892,0.6177,1.13333,0.0017228,0.0017228,0.0017228
16,3731,1.34972,0.73898,1.04598,0.96965,0.93994,0.97449,0.58255,1.44127,0.5843,1.13362,0.001703,0.001703,0.001703
17,3921.43,1.32656,0.71503,1.04238,0.96468,0.93438,0.96986,0.581,1.42554,0.57584,1.14312,0.0016832,0.0016832,0.0016832
18,4154.16,1.32012,0.71961,1.04068,0.96693,0.94414,0.97844,0.57838,1.4585,0.59581,1.14071,0.0016634,0.0016634,0.0016634
19,4379.28,1.32093,0.71617,1.03906,0.9685,0.94181,0.97041,0.58094,1.43869,0.55713,1.14006,0.0016436,0.0016436,0.0016436
20,4646.2,1.28876,0.69196,1.02944,0.96543,0.93519,0.96402,0.54827,1.48669,0.592,1.15848,0.0016238,0.0016238,0.0016238
21,4916.47,1.27828,0.67362,1.02472,0.96528,0.93829,0.96736,0.57132,1.4376,0.56349,1.14151,0.001604,0.001604,0.001604
22,5209.4,1.27487,0.68153,1.02542,0.96323,0.92432,0.96614,0.55735,1.49298,0.61421,1.16123,0.0015842,0.0015842,0.0015842
1,359.465,1.22803,0.65058,1.00962,0.95497,0.92672,0.96507,0.55199,1.53199,0.59783,1.18585,0.000664466,0.000664466,0.000664466
2,743.169,1.22719,0.65367,1.01193,0.96553,0.93949,0.96595,0.56528,1.48363,0.56267,1.16744,0.00128232,0.00128232,0.00128232
3,1051.43,1.23468,0.65645,1.01367,0.95664,0.93078,0.96606,0.5649,1.47866,0.58948,1.16555,0.00185129,0.00185129,0.00185129
4,1413.64,1.24322,0.65591,1.0144,0.96791,0.94264,0.96835,0.56413,1.45559,0.56814,1.15547,0.00178,0.00178,0.00178
5,1759.95,1.22661,0.6456,1.01218,0.96977,0.93942,0.97026,0.58136,1.44006,0.54669,1.15127,0.00170667,0.00170667,0.00170667
6,2163.42,1.21862,0.64322,1.01104,0.97186,0.93198,0.96962,0.5722,1.47796,0.55455,1.16592,0.00163333,0.00163333,0.00163333
7,2585.13,1.20821,0.63231,1.00382,0.96989,0.93949,0.96731,0.553,1.49567,0.55226,1.17295,0.00156,0.00156,0.00156
8,2999.27,1.19686,0.62707,1.00055,0.96453,0.93496,0.96494,0.55039,1.53534,0.55745,1.19127,0.00148667,0.00148667,0.00148667
9,3370.6,1.19439,0.6296,1.00182,0.97287,0.94226,0.972,0.57255,1.50107,0.55032,1.17732,0.00141333,0.00141333,0.00141333
10,3829.29,1.17615,0.61357,0.99745,0.96784,0.94445,0.97036,0.56693,1.47145,0.53833,1.16577,0.00134,0.00134,0.00134
11,4250.47,1.16447,0.60525,0.98997,0.96946,0.9437,0.96739,0.5556,1.50687,0.55057,1.18839,0.00126667,0.00126667,0.00126667
12,4718.15,1.15559,0.60237,0.98946,0.97225,0.94677,0.97107,0.57312,1.46474,0.5255,1.17318,0.00119333,0.00119333,0.00119333
13,5043.16,1.14627,0.59356,0.98686,0.96585,0.94268,0.96537,0.55887,1.48345,0.53271,1.17883,0.00112,0.00112,0.00112
14,5451.85,1.13698,0.58871,0.98091,0.96927,0.9423,0.96794,0.56878,1.48382,0.54151,1.18034,0.00104667,0.00104667,0.00104667
15,5810.82,1.12462,0.58432,0.97875,0.96928,0.93754,0.96791,0.5626,1.51762,0.54075,1.19644,0.000973333,0.000973333,0.000973333
16,6225.36,1.11632,0.57911,0.97552,0.97296,0.9508,0.97382,0.57903,1.48473,0.5231,1.18463,0.0009,0.0009,0.0009
17,6556.08,1.10077,0.56743,0.97384,0.97361,0.94595,0.97381,0.56246,1.49091,0.52677,1.18637,0.000826667,0.000826667,0.000826667
18,6870.02,1.07063,0.55105,0.99238,0.96508,0.93468,0.96483,0.56609,1.50609,0.53381,1.19746,0.000753333,0.000753333,0.000753333
19,7100.53,1.05002,0.54258,0.98494,0.96445,0.93279,0.96262,0.56341,1.52615,0.53695,1.20741,0.00068,0.00068,0.00068
20,7338.24,1.03319,0.53382,0.97824,0.96295,0.94061,0.96786,0.5699,1.50266,0.52697,1.19922,0.000606667,0.000606667,0.000606667
21,7557.59,1.01626,0.52357,0.97205,0.96598,0.93994,0.96555,0.57098,1.51697,0.51994,1.20593,0.000533333,0.000533333,0.000533333
22,7866.61,1.00558,0.5148,0.96813,0.9632,0.93769,0.96347,0.55568,1.53173,0.53057,1.21583,0.00046,0.00046,0.00046
